Sum of TotDoD,Column Labels,,,,,,,,,,,
Row Labels,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
2nd LIEUTENANT-ENSIGN,24454,23639,23724,24745,26607,28002,28590,27145,26222,27028,26232,286388
BRIG GENERAL  -REAR ADMIRAL(L),436,424,420,420,418,438,409,417,,,,3382
BRIG GENERAL -REAR ADMIRAL(L),,,,,,,,,409,384,388,1181
CADETS-MIDSHIPMEN,12868,12728,12926,13076,13229,13293,13210,13190,13040,12758,12948,143266
CAPTAIN       -LIEUTENANT,75632,76207,75525,74633,74838,74120,73820,72602,,,,597377
CAPTAIN -LIEUTENANT,,,,,,,,,73507,73780,73564,220851
CHIEF WARRANT OFFICER W-2,8143,7952,7694,7393,6875,6737,6768,7078,7463,7570,7482,81155
CHIEF WARRANT OFFICER W-3,5128,5269,5424,5348,5327,5225,5153,4975,4802,4738,4570,55959
CHIEF WARRANT OFFICER W-4,3047,2937,2782,2631,2756,2761,2647,2657,2748,2628,2516,30110
CHIEF WARRANT OFFICER W-5,830,836,797,769,739,783,774,749,736,766,743,8522
COLONEL       -CAPTAIN,11955,11591,11240,11253,11222,10999,11080,11246,,,,90586
COLONEL -CAPTAIN,,,,,,,,,11197,11110,10894,33201
E-1,54618,47008,49323,51996,57747,59679,60453,50867,42787,42812,46688,563978
E-2,70043,65878,66744,67996,71613,70960,71703,66465,66472,54891,57451,730216
E-3,196218,190482,174695,183762,186496,191054,189579,192764,196229,186958,169136,2057373
E-4,277403,268701,277371,262254,251734,245602,253718,265002,267687,261814,254344,2885630
E-5,234745,227369,219613,214296,218278,221114,226193,225035,227526,223038,219803,2457010
E-6,163907,159711,156786,154408,154681,157265,160725,167362,168739,167132,162811,1773527
E-7,96397,94076,89580,89428,88408,91086,92617,93945,92584,93868,91877,1013866
E-8,27459,27296,26443,25965,26137,26195,27477,27271,26916,26677,26165,294001
E-9,10495,10238,9991,9979,10071,10369,10472,10414,10438,10477,10552,113496
ENLISTED UNKNOWN GRADE,,,,,,,,,0,0,0,0
GENERAL       -ADMIRAL,37,38,38,39,37,40,37,45,,,,311
GENERAL -ADMIRAL,,,,,,,,,41,41,37,119
GRAND TOTAL,1382684,1338487,1313940,1301308,1307366,1317325,1339036,1346651,1348479,1317067,1286027,14598370
Ist LIEUTENANT-LIEUTENANT(JG),31133,29863,29484,28303,27642,28250,29228,31411,32136,31399,31007,329856
LIEUTENANT COL-COMMANDER,28888,27932,27221,27079,27028,27126,27152,27569,27800,27529,27008,302332
LT GENERAL    -VICE ADMIRAL,158,145,141,137,147,147,142,153,,,,1170
LT GENERAL -VICE ADMIRAL,,,,,,,,,157,152,132,441
MAJ GENERAL   -REAR ADMIRAL(U),312,304,310,307,301,296,295,281,,,,2406
MAJ GENERAL -REAR ADMIRAL(U),,,,,,,,,294,286,,580
"MAJ GENERAL -REAR, ADMIRAL(U)",,,,,,,,,,,252,252
MAJOR         -LT COMMANDER,46155,45624,43609,42958,42630,43145,43908,45066,,,,353095
MAJOR -LT COMMANDER,,,,,,,,,45402,45664,45076,136142
OFFICER UNKNOWN GRADE,,,,,,,,,25,0,0,25
TOTAL ENLISTED,1131285,1090759,1070546,1060084,1065165,1073324,1092937,1099125,1099378,1067667,1038827,11889097
TOTAL OFFICER,238531,235000,230468,228148,228972,230708,232889,234336,236061,236642,234252,2566007
WARRANT OFFICER W-1,2223,2239,2059,2133,2405,2639,2886,2942,3122,3567,4351,30566
(blank),,,,,,,,,,,,
Grand Total,4135184,4002733,3928894,3890848,3908869,3938682,4003898,4026763,4032397,3938443,3845133,43651844
