Month,Year,Unemployment Rate
Jan,2013,8
Jan,2014,6.6
Jan,2015,5.7
Jan,2016,4.8
Jan,2017,4.7
Jan,2018,4
Jan,2019,4
Jan,2020,3.5
Jan,2021,6.3
Jan,2022,4
Jan,2023,3.4
Feb,2013,7.7
Feb,2014,6.7
Feb,2015,5.5
Feb,2016,4.9
Feb,2017,4.6
Feb,2018,4.1
Feb,2019,3.8
Feb,2020,3.5
Feb,2021,6.2
Feb,2022,3.8
Feb,2023,3.6
Mar,2013,7.5
Mar,2014,6.7
Mar,2015,5.4
Mar,2016,5
Mar,2017,4.4
Mar,2018,4
Mar,2019,3.8
Mar,2020,4.4
Mar,2021,6.1
Mar,2022,3.6
Mar,2023,3.5
Apr,2013,7.6
Apr,2014,6.2
Apr,2015,5.4
Apr,2016,5.1
Apr,2017,4.4
Apr,2018,4
Apr,2019,3.6
Apr,2020,14.7
Apr,2021,6.1
Apr,2022,3.6
Apr,2023,3.4
May,2013,7.5
May,2014,6.3
May,2015,5.6
May,2016,4.8
May,2017,4.4
May,2018,3.8
May,2019,3.7
May,2020,13.2
May,2021,5.8
May,2022,3.6
May,2023,3.7
Jun,2013,7.5
Jun,2014,6.1
Jun,2015,5.3
Jun,2016,4.9
Jun,2017,4.3
Jun,2018,4
Jun,2019,3.6
Jun,2020,11
Jun,2021,5.9
Jun,2022,3.6
Jun,2023,3.6
Jul,2013,7.3
Jul,2014,6.2
Jul,2015,5.2
Jul,2016,4.8
Jul,2017,4.3
Jul,2018,3.8
Jul,2019,3.7
Jul,2020,10.2
Jul,2021,5.4
Jul,2022,3.5
Jul,2023,3.5
Aug,2013,7.2
Aug,2014,6.1
Aug,2015,5.1
Aug,2016,4.9
Aug,2017,4.4
Aug,2018,3.8
Aug,2019,3.7
Aug,2020,8.4
Aug,2021,5.2
Aug,2022,3.7
Aug,2023,3.8
Sep,2013,7.2
Sep,2014,5.9
Sep,2015,5
Sep,2016,5
Sep,2017,4.3
Sep,2018,3.7
Sep,2019,3.5
Sep,2020,7.9
Sep,2021,4.8
Sep,2022,3.5
Sep,2023,3.8
Oct,2013,7.2
Oct,2014,5.7
Oct,2015,5
Oct,2016,4.9
Oct,2017,4.2
Oct,2018,3.8
Oct,2019,3.6
Oct,2020,6.9
Oct,2021,4.5
Oct,2022,3.7
Oct,2023,3.9
Nov,2013,6.9
Nov,2014,5.8
Nov,2015,5.1
Nov,2016,4.7
Nov,2017,4.2
Nov,2018,3.8
Nov,2019,3.6
Nov,2020,6.7
Nov,2021,4.2
Nov,2022,3.6
Nov,2023,
Dec,2013,6.7
Dec,2014,5.6
Dec,2015,5
Dec,2016,4.7
Dec,2017,4.1
Dec,2018,3.9
Dec,2019,3.6
Dec,2020,6.7
Dec,2021,3.9
Dec,2022,3.5
Dec,2023,
